מזהה,שם המוצר / שובר,ספק / מותג,קטגוריה,מחיר בהצדעה ₪,מחיר מקורי ₪,אחוז חיסכון %,תגיות מבצע,מיקום / משלוח,תוקף המבצע,הגבלת רכישה,רשת מקושרת,קישור למוצר
159393,פינת ישיבה דגם 'סנטוריני' מבית PLAYA,PLAYA,ריהוט ואביזרים לגן ולמרפסת,479.0,509.0,6%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/159393
185228,פינת ישיבה דגם רום PLAYA,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,1499.0,1499.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/185228
178143,פינת ישיבה מאלומיניום דגם מלודי ARAVA,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,1799.0,1799.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/178143
168182,פינת אוכל דגם רוז עם שישה כיסאות מבית KETER,KETER,ריהוט ואביזרים לגן ולמרפסת,2250.0,2550.0,12%,ריהוט ואביזרים לגן ולמרפסת,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/168182
182035,בריכה 457X107 +מ.פ 800+כיסוי+סולם+תאורה Bestway,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,1169.0,1268.0,8%,ריהוט ואביזרים לגן ולמרפסת,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/182035
182037,פארק מים OCTOSPLASH 4.54//4.31//2.90 יבואן רשמי,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,1269.0,1368.0,7%,ריהוט ואביזרים לגן ולמרפסת,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/182037
156280,גריל 3 מבערים Signet 320 Black מבית Broil King,Broil King,ריהוט ואביזרים לגן ולמרפסת,200.0,3684.0,95%,ריהוט ואביזרים לגן ולמרפסת,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/156280
29231,מערכת ישיבה 'קורפו' סטורג' מבית KETER,KETER,ריהוט ואביזרים לגן ולמרפסת,1139.0,1439.0,21%,ריהוט ואביזרים לגן ולמרפסת,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/29231
176560,מערכת ישיבה לגינה/מרפסת Bali מבית HomeTown,HomeTown,ריהוט ואביזרים לגן ולמרפסת,485.0,485.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/176560
184182,בריכה מלבנית מתנפחת לחצר דוגמת Pool,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,99.0,225.0,56%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/184182
182189,מערכת ישיבה יוקרתית מאלומיניום דגם נאיה ARAVA,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,1789.0,1789.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/182189
153633,סט שולחן ו-4 כיסאות לגינה ולמרפסת דגם 'מאווי',סט שולחן ו,ריהוט ואביזרים לגן ולמרפסת,229.0,278.0,18%,ריהוט ואביזרים לגן ולמרפסת,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/153633
182014,טרמפולינה 3 מ' 10 פיט Cylivolk צבעים לבחירה,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,629.0,979.0,36%,ריהוט ואביזרים לגן ולמרפסת,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/182014
72558,מכונת שטיפה 230 בר SPW SONAB,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,599.0,599.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/72558
60490,גריל גז 3 מבערים + כירת צד SONAB KYQ-K23ST,גריל גז 3 מבערים + כירת צד SONAB KYQ,ריהוט ואביזרים לגן ולמרפסת,599.0,599.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/60490
155646,נדנדה לגינה 3 מושבים דגם מורן PLAYA,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,269.0,269.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/155646
138740,סט פינת אוכל 'ברצלונה'/'פורטוגל' PLAYA,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,689.0,719.0,4%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/138740
155430,פינת ישיבה דגם אוסטין PLAYA,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,899.0,899.0,0%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/155430
143220,שמשיה עגולה 3 מטר עם תאורת סולרית PLAYA,בהצדעה,ריהוט ואביזרים לגן ולמרפסת,199.0,289.0,31%,ריהוט ואביזרים לגן ולמרפסת,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/143220
